字序,字,画数,笔画码,Unicode,GB內码
,,,,,
1,一,1,1,U+4E00 ,D2BB
2,丨,1,2,U+4E28 ,D8AD
3,亅,1,2,U+4E85 ,817C
4,丿,1,3,U+4E3F ,D8AF
5,丶,1,4,U+4E36 ,D8BC
6,乁,1,4,U+4E41 ,8155
7,乀,1,4,U+4E40 ,8154
8,乛,1,5,U+4E5B ,815E
9,乚,1,5,U+4E5A ,815D
10,乙,1,5,U+4E59 ,D2D2
11,二,2,11,U+4E8C ,B6FE
12,丅,2,12,U+4E05 ,8142
13,十,2,12,U+5341 ,CAAE
14,丁,2,12,U+4E01 ,B6A1
15,厂,2,13,U+5382 ,B3A7
16,丆,2,13,U+4E06 ,8143
17,匚,2,15,U+531A ,D8CE
18,匸,2,15,U+5338 ,855B
19,七,2,15,U+4E03 ,C6DF
20,丂,2,15,U+4E02 ,8140
21,丄,2,21,U+4E04 ,8141
22,刂,2,22,U+5202 ,D8D6
23,卜,2,24,U+535C ,B2B7
24,冂,2,25,U+5182 ,D8E7
25,亻,2,32,U+4EBB ,D8E9
26,八,2,34,U+516B ,B0CB
27,人,2,34,U+4EBA ,C8CB
28,入,2,34,U+5165 ,C8EB
29,乂,2,34,U+4E42 ,8156
30,勹,2,35,U+52F9 ,D9E8
31,儿,2,35,U+513F ,B6F9
32,匕,2,35,U+5315 ,D8B0
33,几,2,35,U+51E0 ,BCB8
34,九,2,35,U+4E5D ,BEC5
35,亠,2,41,U+4EA0 ,D9EF
36,冫,2,41,U+51AB ,D9FB
37,丷,2,43,U+4E37 ,8152
38,冖,2,45,U+5196 ,DAA2
39,讠,2,45,U+8BA0 ,DAA5
40,刁,2,51,U+5201 ,B5F3
41,了,2,52,U+4E86 ,C1CB
42,凵,2,52,U+51F5 ,DBC9
43,丩,2,52,U+4E29 ,814C
44,卩,2,52,U+5369 ,DAE0
45,阝,2,52,U+961D ,DAE2
46,刀,2,53,U+5200 ,B5B6
47,力,2,53,U+529B ,C1A6
48,乃,2,53,U+4E43 ,C4CB
49,又,2,54,U+53C8 ,D3D6
50,厶,2,54,U+53B6 ,DBCC
51,乄,2,54,U+4E44 ,8157
52,廴,2,54,U+5EF4 ,DBC8
53,巜,2,55,U+5DDC ,8E77
54,乜,2,55,U+4E5C ,D8BF
55,三,3,111,U+4E09 ,C8FD
56,干,3,112,U+5E72 ,B8C9
57,亍,3,112,U+4E8D ,D8A1
58,于,3,112,U+4E8E ,D3DA
59,亏,3,115,U+4E8F ,BFF7
60,亐,3,115,U+4E90 ,8180
61,工,3,121,U+5DE5 ,B9A4
62,土,3,121,U+571F ,CDC1
63,士,3,121,U+58EB ,CABF
64,扌,3,121,U+624C ,DED0
65,艹,3,122,U+8279 ,DCB3
66,卄,3,122,U+5344 ,8560
67,才,3,123,U+624D ,B2C5
68,下,3,124,U+4E0B ,CFC2
69,寸,3,124,U+5BF8 ,B4E7
70,丌,3,132,U+4E0C ,D8A2
71,廾,3,132,U+5EFE ,DEC3
72,大,3,134,U+5927 ,B4F3
73,丈,3,134,U+4E08 ,D5C9
74,兀,3,135,U+5140 ,D8A3
75,尢,3,135,U+5C22 ,DECC
76,与,3,151,U+4E0E ,D3EB
77,万,3,153,U+4E07 ,CDF2
78,弋,3,154,U+5F0B ,DFAE
79,夨,3,154,U+5928 ,89F7
80,上,3,211,U+4E0A ,C9CF
81,小,3,234,U+5C0F ,D0A1
82,凣,3,235,U+51E3 ,8447
83,口,3,251,U+53E3 ,BFDA
84,囗,3,251,U+56D7 ,E0ED
85,山,3,252,U+5C71 ,C9BD
86,巾,3,252,U+5DFE ,BDED
87,千,3,312,U+5343 ,C7A7
88,乇,3,315,U+4E47 ,D8B1
89,乞,3,315,U+4E5E ,C6F2
90,川,3,322,U+5DDD ,B4A8
91,亿,3,325,U+4EBF ,D2DA
92,彳,3,332,U+5F73 ,E1DC
93,彡,3,333,U+5F61 ,E1EA
94,凢,3,335,U+51E2 ,8446
95,亼,3,341,U+4EBC ,8191
96,个,3,342,U+4E2A ,B8F6
97,乊,3,343,U+4E4A ,8159
98,亽,3,344,U+4EBD ,8192
99,亾,3,345,U+4EBE ,8193
100,兦,3,345,U+5166 ,83C7
101,亇,3,352,U+4E87 ,817D
102,犭,3,353,U+72AD ,E1EB
103,夕,3,354,U+5915 ,CFA6
104,久,3,354,U+4E45 ,BEC3
105,夂,3,354,U+5902 ,E2BA
106,夊,3,354,U+590A ,89E5
107,么,3,354,U+4E48 ,C3B4
108,勺,3,354,U+52FA ,C9D7
109,凡,3,354,U+51E1 ,B7B2
110,丸,3,354,U+4E38 ,CDE8
111,及,3,354,U+53CA ,BCB0
112,饣,3,355,U+9963 ,E2BB
113,丬,3,412,U+4E2C ,E3DC
114,广,3,413,U+5E7F ,B9E3
115,亡,3,415,U+4EA1 ,CDF6
116,门,3,425,U+95E8 ,C3C5
117,丫,3,432,U+4E2B ,D1BE
118,义,3,434,U+4E49 ,D2E5
119,氵,3,441,U+6C35 ,E3DF
120,忄,3,442,U+5FC4 ,E2E0
121,宀,3,445,U+5B80 ,E5B2
122,辶,3,454,U+8FB6 ,E5C1
123,之,3,454,U+4E4B ,D6AE
